schoolName,city,countyName,Address,state,latitude,longitude,schoolLevel,studentsNumber,Rating,schoolYear,Source
Kennedy Middle,Charlotte,Mecklenburg,4000 Gallant Ln,NC,35.153501,-80.955732,Middle,907.0,2,2017,US Census
KIPP Charlotte,Charlotte,Mecklenburg,931 Wilann Dr,NC,35.25064099999999,-80.767033,Elementary,553.0,1,2017,US Census
Lake Wylie Elementary,Charlotte,Mecklenburg,13620 Erwin Rd,NC,35.115218,-80.97166899999998,Elementary,677.0,2,2017,US Census
Lansdowne Elementary,Charlotte,Mecklenburg,6400 Prett Ct,NC,35.143272,-80.782308,Elementary,566.0,2,2017,US Census
Lawrence Orr Elementary,Charlotte,Mecklenburg,4835 Shamrock Dr,NC,35.225991,-80.743914,Elementary,720.0,3,2017,US Census
Lebanon Road Elementary,Charlotte,Mecklenburg,7300 Lebanon Rd,NC,35.184109,-80.68962900000002,Elementary,758.0,2,2017,US Census
Lincoln Heights Academy,Charlotte,Mecklenburg,1900 Newcastle St,NC,35.216579,-80.811975,Other,97.0,4,2017,US Census
Mallard Creek Elementary,Charlotte,Mecklenburg,9801 Mallard Creek Rd,NC,35.335392,-80.774512,Elementary,671.0,2,2017,US Census
Mallard Creek High,Charlotte,Mecklenburg,3825 Johnston Oehler Rd,NC,35.36517,-80.77001,High,2509.0,3,2017,US Census
Mallard Creek STEM Academy,Charlotte,Mecklenburg,9142 Browne Rd,NC,35.36674,-80.797061,Elementary,538.0,2,2017,US Census
Martin Luther King Junior Middle,Charlotte,Mecklenburg,500 Bilmark Ave,NC,35.263388,-80.778459,Middle,973.0,1,2017,US Census
McAlpine Elementary,Charlotte,Mecklenburg,9100 Carswell Ln,NC,35.081844,-80.828071,Elementary,475.0,4,2017,US Census
McClintock Middle,Charlotte,Mecklenburg,1925 Rama Rd,NC,35.180983000000005,-80.767116,Middle,1031.0,2,2017,US Census
McKee Road Elementary,Charlotte,Mecklenburg,4101 McKee Rd,NC,35.06828400000001,-80.754791,Elementary,514.0,5,2017,US Census
Merry Oaks International Academy,Charlotte,Mecklenburg,3508 Draper Ave,NC,35.218293,-80.783023,Elementary,666.0,1,2017,US Census
Metro School,Charlotte,Mecklenburg,405 S. Davidson St,NC,35.2182,-80.84130400000002,Other,233.0,3,2017,US Census
Metrolina Regional Scholars Academy,Charlotte,Mecklenburg,5225 Seventy-seven Center Dr,NC,35.168645,-80.88592,Elementary,375.0,5,2017,US Census
Military and Global Leadership Academy,Charlotte,Mecklenburg,1411 Hawthorne Lane Ste A,NC,35.22846,-80.814761,High,693.0,1,2017,US Census
Montclaire Elementary,Charlotte,Mecklenburg,5801 Farmbrook Dr,NC,35.15225,-80.867255,Elementary,434.0,1,2017,US Census
Mountain Island Lake Academy,Charlotte,Mecklenburg,7905 Pleasant Grove Rd,NC,35.308039,-80.928453,Elementary,912.0,2,2017,US Census
Myers Park High,Charlotte,Mecklenburg,2400 Colony Rd,NC,35.170784000000005,-80.83336700000002,High,2994.0,4,2017,US Census
Myers Park Traditional,Charlotte,Mecklenburg,2132 Radcliffe Ave,NC,35.19018900000001,-80.83449,Elementary,704.0,3,2017,US Census
Nations Ford Elementary,Charlotte,Mecklenburg,7050 Nations Ford Rd,NC,35.154888,-80.900221,Elementary,781.0,2,2017,US Census
Newell Elementary,Charlotte,Mecklenburg,325 Rocky River Road West,NC,35.286611,-80.753691,Elementary,845.0,1,2017,US Census
Northeast Middle,Charlotte,Mecklenburg,5960 Brickstone Dr,NC,35.198073,-80.691777,Middle,641.0,1,2017,US Census
Northridge Middle,Charlotte,Mecklenburg,7601 The Plaza,NC,35.259771,-80.73070899999998,Middle,691.0,1,2017,US Census
Northwest School of the Arts,Charlotte,Mecklenburg,1415 Beatties Ford Rd,NC,35.257129,-80.856677,High,1051.0,4,2017,US Census
Oakdale Elementary,Charlotte,Mecklenburg,1825 Oakdale Rd,NC,35.300692,-80.896938,Elementary,687.0,2,2017,US Census
Oakhurst STEAM Academy,Charlotte,Mecklenburg,4511 Monroe Rd,NC,35.19514,-80.783521,Elementary,631.0,1,2017,US Census
Oaklawn Language Academy,Charlotte,Mecklenburg,1810 Oaklawn Ave,NC,35.251225,-80.850261,Elementary,549.0,3,2017,US Census
Olde Providence Elementary,Charlotte,Mecklenburg,3800 Rea Rd,NC,35.110634999999995,-80.798773,Elementary,741.0,4,2017,US Census
Palisades Park Elementary,Charlotte,Mecklenburg,15321 York Rd,NC,35.093561,-81.02592,Elementary,819.0,4,2017,US Census
Park Road Montessori,Charlotte,Mecklenburg,3701 Haven Dr,NC,35.17753,-80.848753,Elementary,513.0,5,2017,US Census
Parkside Elementary,Charlotte,Mecklenburg,2945 Johnston-Oehler Rd,NC,35.360772,-80.760935,Elementary,391.0,4,2017,US Census
Paw Creek Elementary,Charlotte,Mecklenburg,1300 Cathey Rd,NC,35.291096,-80.94521800000003,Elementary,540.0,2,2017,US Census
Performance Learning Center,Charlotte,Mecklenburg,2300 W Sugar Creek Road,NC,35.29507,-80.795681,High,231.0,2,2017,US Census
Phillip O Berry Academy of Technology,Charlotte,Mecklenburg,1430 Alleghany St,NC,35.239231,-80.891683,High,1573.0,4,2017,US Census
Piedmont IB Middle,Charlotte,Mecklenburg,1241 E 10th St,NC,35.22320900000001,-80.82390500000002,Middle,1084.0,5,2017,US Census
Pinewood Elementary,Charlotte,Mecklenburg,805 Seneca Pl,NC,35.166169000000004,-80.864008,Elementary,487.0,1,2017,US Census
Piney Grove Elementary,Charlotte,Mecklenburg,8801 Eaglewind Dr,NC,35.173065,-80.731053,Elementary,806.0,2,2017,US Census
Pioneer Springs Community School,Charlotte,Mecklenburg,9300 Bob Beatty Rd.,NC,35.34827999999999,-80.822591,Elementary,259.0,3,2017,US Census
Polo Ridge Elementary,Charlotte,Mecklenburg,11830 Tom Short Rd,NC,35.046855,-80.79513399999998,Elementary,1021.0,5,2017,US Census
Providence High,Charlotte,Mecklenburg,1800 Pineville-Matthews Rd,NC,35.110344,-80.763887,High,2048.0,5,2017,US Census
